[Retainability,HOSR,RSRP,RSRQ,SINR,Throughput,Distance,FaultCause]
0.952,0.889,-74.552,-19.338,10.255,108.908,0.77,6
0.99,0.967,-77.099,-19.333,9.789,133.681,0.753,6
0.983,0.971,-73.593,-19.126,10.655,124.068,0.735,6
1,1,-74.998,-18.514,10.186,158.986,0.681,6
1,1,-73.295,-19.013,10.293,172.435,0.732,6
0.989,0.969,-75.325,-19.117,9.336,147.988,0.695,6
0.988,0.963,-75.508,-19.018,9.564,162.086,0.725,6
0.983,0.95,-79.28,-18.425,9.653,185.035,0.697,6
0.986,0.967,-73.219,-18.73,10.798,191.537,0.748,6
1,1,-74.845,-18.55,9.238,173.648,0.701,6
0.965,0.909,-76.781,-19.097,9.343,144.416,0.724,6
0.964,0.933,-75.54,-19.385,10.086,159.458,0.714,6
0.962,0.921,-74.967,-19.553,9.751,167.966,0.777,6
0.963,0.9,-76.544,-19.021,9.83,158.488,0.67,6
0.976,0.938,-74.392,-19.087,10.172,194.946,0.7,6
0.954,0.9,-74.373,-19.281,10.156,138.067,0.758,6
1,1,-76.017,-19.064,9.63,157.549,0.729,6
0.984,0.955,-74.187,-18.774,9.665,177.781,0.774,6
0.989,0.962,-75.91,-18.805,9.544,160.003,0.685,6
0.977,0.938,-77.496,-18.958,8.254,138.596,0.682,6
0.956,0.897,-78.637,-19.427,9.297,132.47,0.761,6
1,1,-76.584,-18.662,8.768,157.403,0.764,6
0.961,0.885,-76.01,-18.884,9.61,179.996,0.754,6
0.973,0.944,-75.199,-19.18,9.802,153.502,0.679,6
0.987,0.963,-76.162,-18.836,9.845,177.124,0.661,6
0.964,0.885,-76.93,-18.393,9.176,175.14,0.746,6
0.975,0.931,-78.482,-18.861,9.149,153.008,0.677,6
1,1,-78.005,-19.052,9.259,163.116,0.684,6
0.962,0.912,-74.413,-19.325,10.386,187.764,0.722,6
0.989,0.972,-75.344,-18.858,9.637,151.198,0.755,6
0.973,0.923,-76.875,-19.052,9.273,148.246,0.699,6
0.988,0.967,-77.814,-18.866,9.619,161.908,0.706,6
0.975,0.923,-74.682,-18.945,9.785,168.426,0.701,6
0.97,0.951,-77.491,-19.058,8.782,151.452,0.763,6
0.975,0.913,-77.291,-19.15,9.227,138.274,0.713,6
0.977,0.938,-78.782,-18.916,8.537,138.629,0.717,6
0.988,0.971,-75.803,-19.46,9.552,131.542,0.668,6
0.974,0.933,-73.552,-18.851,9.374,148.841,0.686,6
0.97,0.889,-77.586,-18.8,9.489,143.395,0.694,6
0.966,0.897,-74.828,-18.84,10.597,191.408,0.698,6
0.946,0.861,-77.186,-19.335,8.275,128.695,0.739,6
1,1,-76.649,-18.543,10.155,177.781,0.677,6
0.976,0.938,-76.384,-19.272,9.207,147.628,0.74,6
0.96,0.912,-71.455,-19.322,10.868,174.59,0.732,6
0.986,0.971,-79.599,-19.16,8.484,147.925,0.761,6
1,1,-75.246,-17.959,13.686,89.121,0.894,7
0.995,0.98,-74.658,-18.09,13.577,93.892,0.875,7
0.994,0.972,-71.373,-18.026,14.056,118.624,0.869,7
0.991,0.967,-75.797,-18.184,12.782,82.952,0.901,7
0.966,0.897,-71.405,-18.246,15.281,98.749,0.873,7
0.983,0.933,-69.985,-18.053,15.54,123.91,0.879,7
0.984,0.936,-68.818,-18.135,14.569,109.17,0.888,7
0.977,0.918,-69.263,-18.175,14.396,97.977,0.885,7
0.995,0.978,-73.289,-17.838,14.505,113.961,0.879,7
0.988,0.957,-75.05,-17.865,14.522,120.914,0.916,7
1,1,-71.105,-18.117,14.869,118.521,0.911,7
0.985,0.938,-71.094,-18.164,15.32,120.914,0.9,7
0.995,0.976,-71.876,-17.908,14.141,120.914,0.865,7
1,1,-72.986,-18.28,15.078,117.768,0.911,7
1,1,-70.154,-18.153,14.762,113.43,0.856,7
0.985,0.94,-69.409,-18.412,16.172,123.07,0.893,7
0.989,0.955,-70.535,-18.02,14.576,112.896,0.884,7
0.982,0.93,-70.102,-18.217,14.635,113.501,0.888,7
0.974,0.884,-69.972,-18.321,15.643,121.156,0.974,7
0.995,0.981,-71.778,-18.206,13.447,98.93,0.954,7
1,1,-72.173,-18.227,15.417,151.705,0.916,7
0.986,0.964,-70.132,-18.68,14.459,138.734,0.98,7
0.995,0.981,-71.29,-18.18,14.592,99.128,0.877,7
0.989,0.958,-74.269,-18.186,14.997,121.156,0.838,7
0.989,0.966,-72.295,-18.393,13.834,118.402,0.916,7
1,1,-74.247,-18.276,14.634,118.402,0.959,7
1,1,-74.725,-18.568,15.679,127.976,0.922,7
0.995,0.983,-72.574,-18.135,15.41,103.717,0.887,7
0.994,0.978,-72.258,-18.298,13.878,132.47,0.95,7
0.994,0.981,-73.114,-18.066,15.191,118.862,0.915,7
0.975,0.923,-72.792,-18.438,14.4,103.989,0.965,7
0.989,0.98,-70.531,-17.995,15.148,103.576,0.926,7
1,1,-70.655,-18.084,14.381,102.701,0.885,7
1,1,-70.691,-18.096,14.606,117.227,0.898,7
0.97,0.875,-70.242,-18.22,14.46,103.717,0.922,7
0.985,0.955,-70.341,-18.221,14.983,113.928,0.88,7
0.99,0.964,-70.69,-18.126,13.984,101.661,0.901,7
0.994,0.983,-70.719,-18.072,15.032,113.501,0.891,7
0.98,0.926,-70.488,-18.477,15.255,97.849,0.868,7
1,1,-73.566,-18.153,13.165,99.228,0.867,7
0.989,0.962,-71.138,-18.208,15.543,113.387,0.929,7
0.989,0.982,-73.618,-17.903,14.078,112.846,0.92,7
1,1,-72.055,-18.116,14.407,108.874,0.933,7
1,1,-68.695,-18.078,17.011,143.213,0.933,7
0.994,0.974,-72.71,-18.277,14.712,120.099,0.92,7
0.989,0.961,-70.188,-17.889,16.136,116.435,0.92,7
0.994,0.985,-71.982,-18.331,14.183,103.75,0.929,7
1,1,-71.98,-18.306,14.915,109.334,0.936,7
0.995,0.962,-71.094,-18.153,15.149,118.402,0.932,7
0.994,0.981,-72.948,-18.296,13.837,99.079,0.94,7
0.99,0.939,-74.924,-17.655,14.58,123.532,0.877,7
0.989,0.958,-75.461,-17.896,14.077,99.128,0.868,7
1,1,-75.873,-18.39,13.604,101.786,0.86,7
1,1,-76.187,-18.036,14.049,123.662,0.884,7
0.99,0.962,-76.316,-18.101,14.661,98.668,0.888,7
0.983,0.955,-74.651,-18.357,14.987,118.862,0.925,7
0.994,0.979,-75.042,-17.897,15.672,118.455,0.923,7
0.986,0.941,-72.462,-17.764,16.064,116.778,0.888,7
0.964,0.897,-77.986,-18.163,13.843,98.93,0.909,7
0.995,0.98,-75.057,-18.156,13.938,113.009,0.916,7
0.986,0.955,-75.28,-18.12,14.574,124.034,0.902,7
0.994,0.978,-72.453,-18.2,15.735,111.093,0.885,7
0.995,0.983,-73.762,-18.125,15.502,111.498,0.917,7
0.988,0.972,-75.141,-18.526,14.01,98.647,0.873,7
0.983,0.944,-74.66,-18.378,13.759,123.662,0.933,7
0.988,0.958,-72.105,-18.063,16.749,144.54,0.875,7
0.983,0.938,-74.139,-18.257,14.111,108.765,0.936,7
0.975,0.917,-72.784,-18.279,15.418,113.961,0.965,7
0.982,0.941,-75.533,-18.474,14.862,142.07,0.902,7
0.995,0.972,-73.563,-17.744,14.862,113.753,0.847,7
1,1,-69.75,-18.177,14.839,121.278,0.888,7
0.984,0.93,-70.332,-18.282,14.118,108.874,0.907,7
0.989,0.947,-72.509,-18.259,14.144,119.372,0.914,7
0.995,0.98,-72.654,-18.186,14.142,94.208,0.901,7
0.968,0.854,-72.086,-18.571,14.856,99.228,0.895,7
0.989,0.96,-74.604,-18.349,13.565,99.128,0.911,7
1,1,-70.934,-18.075,15.012,113.331,0.91,7
0.989,0.953,-71,-18.093,15.088,104.315,0.895,7
0.986,0.942,-72.233,-18.178,15.497,103.543,0.875,7
1,1,-70.586,-18.184,15.058,97.322,0.895,7
0.985,0.939,-69.519,-18.47,15.674,113.814,0.949,7
1,1,-70.489,-18.718,14.373,103.358,0.925,7
0.995,0.979,-74.034,-18.56,14.531,98.508,0.927,7
1,1,-71.049,-18.569,14.485,115.035,0.943,7
0.995,0.985,-73.963,-18.557,14.636,103.358,0.926,7
0.986,0.962,-70.282,-18.585,15.327,94.08,0.958,7
1,1,-70.44,-18.722,14.388,98.831,0.95,7
0.995,0.98,-73.002,-18.612,14.658,109.225,0.953,7
0.957,0.89,-70.674,-18.73,14.673,88.313,0.948,7
1,1,-72.779,-18.435,13.932,89.032,0.877,7
0.972,0.878,-70.521,-18.216,15.455,123.91,0.886,7
1,1,-72.503,-18.338,15.006,99.228,0.923,7
0.974,0.924,-72.968,-18.503,13.693,98.767,0.989,7
0.97,0.889,-75.082,-18.51,13.015,108.908,0.905,7
1,1,-71.295,-18.521,15.643,99.128,0.949,7
0.995,0.978,-72.597,-18.125,16.457,138.318,0.904,7
0.989,0.961,-71.969,-18.725,14.769,112.67,0.927,7
0.995,0.979,-70.914,-18.413,14.735,121.278,0.872,7
0.99,0.969,-69.9,-18.386,15.304,96.471,0.948,7
0.995,0.984,-75.677,-18.54,13.557,103.716,0.945,7
0.981,0.935,-77.992,-18.556,13.726,109.006,0.888,7
0.994,0.979,-72.634,-18.104,15.23,123.215,0.844,7
1,1,-71.59,-18.465,14.815,108.874,0.858,7
0.994,0.978,-72.04,-18.388,15.217,124.403,0.861,7
0.988,0.959,-76.048,-18.349,14.554,141.681,0.868,7
0.994,0.959,-73.187,-18.309,15.772,103.821,0.838,7
0.994,0.98,-71.973,-18.073,16.034,143.296,0.865,7
0.994,1,-73.024,-18.188,15.183,125.621,0.863,7
0.984,0.943,-74.063,-18.027,14.739,109.006,0.832,7
0.994,0.977,-73.656,-18.295,14.538,123.484,0.863,7
0.994,0.972,-68.33,-18.242,14.34,125.287,0.875,7
0.99,0.962,-68.072,-18.301,14.46,103.784,0.902,7
0.968,0.915,-69.912,-18.524,13.583,98.757,0.907,7
1,1,-68.002,-17.944,14.924,113.814,0.884,7
1,1,-71.041,-18.187,13.685,96.471,0.872,7
0.994,0.98,-69.531,-17.979,14.086,99.128,0.887,7
0.989,0.955,-68.57,-17.933,14.13,113.961,0.872,7
0.989,0.962,-68.706,-18.403,14.751,108.874,0.932,7
1,1,-66.528,-18.054,15.751,113.501,0.909,7
1,1,-68.964,-18.219,13.757,99.228,0.912,7
0.994,0.98,-74.012,-18.119,13.476,121.156,0.874,7
0.987,0.957,-73.675,-18.265,13.952,133.746,0.899,7
0.983,0.939,-72.631,-17.748,15.559,128.628,0.885,7
0.982,0.947,-72.073,-18.152,14.864,123.91,0.865,7
0.984,0.947,-73.118,-18.193,14.411,119.348,0.873,7
1,1,-74.115,-18.157,15.198,121.278,0.883,7
0.995,0.977,-73.569,-18.197,14.753,116.108,0.87,7
0.99,0.967,-74.756,-18.316,14.144,108.46,0.892,7
0.976,0.911,-72.023,-18.24,16.106,137.204,0.84,7
0.989,0.959,-70.849,-17.879,14.58,113.881,0.853,7
1,1,-70.516,-17.91,15.07,116.128,0.909,7
0.984,0.964,-71.501,-18.02,13.782,89.121,0.925,7
1,1,-71.318,-17.954,15.31,97.286,0.898,7
0.985,0.947,-70.778,-17.7,15.366,98.668,0.911,7
0.995,0.986,-71.774,-18.142,14.36,88.313,0.923,7
0.995,0.978,-70.532,-17.985,15.074,98.93,0.892,7
1,1,-70.138,-18.052,15.819,108.481,0.892,7
0.987,0.948,-69.46,-18.102,15.703,103.888,0.907,7
0.99,0.957,-71.707,-17.959,14.656,92.287,0.872,7
0.995,0.979,-70.625,-17.854,15.492,116.108,0.911,7
0.994,0.962,-74.776,-17.953,13.733,106.578,0.859,7
0.987,0.955,-72.349,-18.024,16.024,118.981,0.874,7
1,1,-73.431,-18.584,13.363,96.374,0.91,7
1,1,-74.485,-18.138,14.141,98.372,0.881,7
0.995,0.98,-72.958,-18.067,14.188,95.454,0.862,7
0.994,0.971,-75.522,-17.984,13.537,99.228,0.863,7
0.995,0.955,-74.125,-18.438,14.032,99.228,0.866,7
0.995,0.982,-71.366,-17.942,15.332,110.186,0.844,7
0.994,0.979,-70.024,-18.055,15.198,108.908,0.897,7
0.995,0.981,-73.996,-18.116,14.286,97.977,0.875,7
1,1,-71.385,-18.16,15.043,113.847,0.885,7
0.995,0.98,-71.868,-17.983,14.113,99.228,0.935,7
1,1,-72.397,-18.206,14.727,89.032,0.899,7
0.989,0.957,-72.648,-18.468,15.202,112.835,0.895,7
0.995,1,-71.63,-18.093,15.509,121.278,0.848,7
0.984,0.938,-71.301,-18.082,14.991,106.471,0.891,7
1,1,-74.88,-18.276,14.969,114.772,0.904,7
0.983,0.948,-72.431,-18.271,14.08,98.343,0.92,7
1,0.984,-75.106,-18.363,13.19,81.501,0.93,7
0.99,0.953,-70.291,-17.937,16.363,113.814,0.885,7
0.988,0.964,-71.987,-18.425,14.966,123.91,0.943,7
0.988,0.969,-70.032,-18.143,15.819,118.981,0.917,7
0.976,0.928,-75.128,-18.282,13.255,99.228,0.868,7
0.981,0.948,-69.208,-18.396,14.729,115.875,0.903,7
0.979,0.938,-69.844,-18.279,15.085,103.821,0.893,7
0.984,0.946,-72.834,-18.022,14.464,102.416,0.896,7
0.983,0.955,-73.52,-18.272,14.18,120.359,0.896,7
0.995,0.984,-70.08,-18.124,16.17,109.386,0.871,7
0.959,0.907,-73.713,-18.38,12.696,95.461,0.915,7
0.995,0.984,-70.418,-18.285,15.297,113.438,0.915,7
1,1,-71.137,-17.977,15.221,98.767,0.945,7
0.995,0.98,-67.466,-18.325,15.678,126.627,0.956,7
0.995,0.982,-72.11,-18.244,15.361,89.032,0.908,7
1,1,-70.478,-17.87,16.509,114.388,0.881,7
0.989,0.975,-73.508,-17.976,13.38,111.093,0.879,7
1,1,-70.62,-18.164,15.627,105.561,0.908,7
0.99,0.962,-69.121,-18.186,16.14,100.605,0.898,7
0.99,0.963,-71.377,-18.177,15.021,99.128,0.908,7
0.971,0.911,-68.491,-18.117,15.228,103.461,0.895,7
0.989,0.966,-72.118,-18.511,14.484,108.481,0.939,7
1,1,-74.237,-18.179,15.675,128.042,0.87,7
0.995,0.98,-75.7,-18.302,13.895,103.821,0.905,7
0.989,0.964,-74.557,-18.279,15.144,98.93,0.917,7
0.989,0.962,-74.531,-18.119,15.546,121.278,0.886,7
0.994,0.979,-74.445,-18.11,15.299,128.242,0.932,7
0.984,0.951,-77.103,-18.796,14.16,103.784,0.888,7
1,1,-75.198,-18.242,15.312,124.034,0.89,7
0.99,0.962,-74.917,-17.72,15.106,99.128,0.915,7
1,1,-72.846,-18.193,15.607,104.177,0.877,7
0.995,0.979,-74.523,-18.019,14.551,117.619,0.878,7
0.995,0.974,-69.667,-18.016,14.923,118.624,0.875,7
0.99,0.963,-70.711,-17.939,14.386,99.128,0.894,7
0.989,0.964,-73.896,-18.084,14.452,113.009,0.935,7
0.981,0.926,-69.842,-17.957,15.51,116.552,0.897,7
0.99,0.951,-70.011,-17.871,15.862,99.228,0.853,7
1,1,-73.514,-17.734,15.439,98.767,0.839,7
0.995,0.978,-73.825,-18.36,13.87,113.009,0.918,7
0.977,0.917,-71.866,-18.217,14.682,98.767,0.96,7
0.99,0.957,-69.899,-18.016,15.64,108.481,0.887,7
1,1,-70.939,-18.422,15.228,99.228,0.889,7
1,1,-70.43,-18.348,14.304,124.034,0.911,7
0.994,0.98,-68.196,-18.155,14.216,113.16,0.865,7
1,1,-70.686,-17.673,14.358,108.874,0.827,7
0.978,0.922,-71.529,-18.011,14.064,113.814,0.875,7
0.983,0.941,-70.921,-17.792,14.727,123.91,0.888,7
0.989,0.944,-68.854,-17.747,14.983,121.156,0.84,7
0.98,0.905,-68.181,-17.699,15.205,123.574,0.841,7
0.989,0.962,-69.364,-17.979,14.119,112.097,0.839,7
0.983,0.919,-71.495,-17.975,14.125,143.788,0.875,7
0.989,0.959,-70.372,-17.721,15.601,126.65,0.851,7
0.984,0.956,-72.67,-18.15,13.536,99.128,0.862,7
1,1,-71.623,-17.655,15.873,121.156,0.887,7
0.994,0.98,-70.993,-18.059,14.94,118.402,0.874,7
0.994,0.977,-74.405,-17.972,14.861,99.314,0.909,7
0.995,0.983,-72.018,-17.901,14.188,108.874,0.883,7
0.988,0.938,-75.07,-18.018,14.177,121.278,0.884,7
0.989,0.971,-71.374,-18.278,14.613,98.93,0.914,7
0.984,0.95,-71.652,-17.813,14.557,96.181,0.864,7
0.99,0.952,-71.253,-17.653,14.744,113.009,0.861,7
0.979,0.938,-73.813,-18.158,13.884,98.76,0.866,7
1,1,-73.339,-18.121,14.781,113.928,0.908,7
0.994,0.978,-74.008,-18.292,14.803,118.343,0.924,7
0.989,0.95,-74.432,-18.097,14.377,107.073,0.909,7
1,1,-75.013,-18.052,14.692,99.228,0.915,7
0.989,0.96,-72.802,-18.389,14.912,103.135,0.915,7
0.985,0.936,-72.776,-18.265,15.718,116.108,0.911,7
0.986,0.951,-72.351,-17.755,15.087,120.914,0.897,7
0.989,0.932,-72.275,-17.912,14.546,96.374,0.862,7
0.995,0.981,-72.151,-17.93,16.241,119.265,0.872,7
0.984,0.938,-73.378,-18.011,15.185,107.613,0.909,7
1,1,-69.707,-18.231,15.387,108.547,0.868,7
1,1,-71.802,-17.964,14.085,113.847,0.852,7
1,1,-72.553,-18.082,13.703,133.082,0.92,7
1,1,-69.461,-18.228,15.838,124.016,0.858,7
0.995,0.983,-70.703,-18.141,15.76,123.215,0.866,7
0.984,0.941,-69.694,-18.111,15.993,115.875,0.874,7
1,1,-70.768,-18.134,15.194,105.561,0.845,7
0.994,0.981,-74.558,-18.457,14.153,116.263,0.895,7
0.985,0.941,-72.97,-18.131,13.644,109.225,0.865,7
0.979,0.933,-70.876,-18.199,15.68,110.076,0.875,7
1,1,-73.086,-17.853,14.704,118.521,0.887,7
1,1,-71.717,-18.134,14.758,118.402,0.916,7
0.989,0.958,-71.764,-17.65,15.33,121.156,0.865,7
0.987,0.959,-71.633,-18.126,16.305,128.435,0.937,7
0.995,0.98,-70.479,-17.736,16.415,128.234,0.883,7
0.995,0.978,-72.461,-17.855,14.728,103.75,0.906,7
0.989,0.978,-71.253,-18.24,15.844,118.402,0.911,7
0.964,0.891,-74.528,-18.196,14.403,113.928,0.948,7
0.994,0.982,-70.424,-17.866,15.668,112.896,0.885,7
0.995,0.983,-70.844,-18.478,14.965,108.874,0.897,7
1,1,-70.021,-17.973,16.119,124.034,0.946,7
0.995,0.971,-74.363,-18.018,15.52,130.614,0.88,7
0.99,0.966,-74.008,-18.246,15.171,113.928,0.961,7
0.976,0.909,-73.21,-17.869,15.099,98.93,0.93,7
0.984,0.955,-69.385,-18.192,15.904,96.374,0.949,7
1,1,-73.494,-18.03,14.77,109.039,0.942,7
0.977,0.942,-72.389,-18.292,15.043,113.016,0.92,7
1,1,-72.208,-18.189,15.373,96.374,0.897,7
0.995,0.979,-74.352,-18.174,15.418,113.79,0.926,7
0.995,0.983,-75.484,-18.094,15.143,113.847,0.97,7
0.973,0.896,-72.768,-18.182,14.559,113.847,0.859,7
0.99,0.957,-74.614,-18.113,14.55,102.804,0.862,7
0.994,0.973,-71.68,-18.067,14.325,121.278,0.886,7
0.98,0.935,-73.61,-18.131,14.912,118.402,0.875,7
0.994,0.981,-74.782,-18.413,14.156,117.389,0.882,7
0.989,0.957,-74.543,-17.931,13.37,113.928,0.84,7
0.995,0.976,-73.357,-17.932,14.786,123.91,0.846,7
0.995,0.978,-71.694,-18.469,14.249,118.981,0.874,7
0.985,0.932,-73.974,-17.753,15.483,123.91,0.866,7
0.989,0.957,-72.883,-18.014,15.334,115.875,0.858,7
0.989,0.963,-72.385,-18.53,14.617,103.358,0.967,7
1,1,-72.196,-18.459,12.973,89.121,0.941,7
0.988,0.959,-72.325,-18.057,14.065,98.767,0.91,7
1,1,-67.967,-18.175,14.919,89.154,0.93,7
0.994,1,-74.469,-18.396,13.52,104.125,0.896,7
1,1,-71.526,-18.293,15.356,108.874,0.982,7
1,1,-68.688,-18.23,15.24,113.586,0.885,7
0.995,0.981,-68.82,-18.106,15.406,116.224,0.903,7
0.995,0.98,-71.781,-18.297,13.901,98.767,0.955,7
0.989,0.963,-70.785,-18.195,14.751,104.404,0.935,7
1,1,-71.106,-17.81,15.485,123.706,0.902,7
0.994,0.98,-71.934,-18.084,15.666,123.91,0.883,7
0.988,0.966,-72.945,-17.953,13.64,113.009,0.906,7
0.978,0.923,-71.542,-17.94,14.156,116.224,0.906,7
0.995,0.982,-70.485,-18.291,15.019,98.93,0.926,7
0.994,0.977,-69.244,-18.058,14.901,128.661,0.873,7
0.984,0.944,-77.579,-18.375,12.315,108.874,0.921,7
0.985,0.959,-71.86,-18.024,13.448,98.434,0.899,7
1,1,-69.56,-17.644,15.119,121.096,0.818,7
0.989,0.963,-69.342,-18.115,14.98,106.259,0.882,7
0.994,0.977,-73.485,-18.377,15.236,118.521,0.902,7
0.994,0.982,-72.359,-18.485,14.736,113.928,0.921,7
0.983,0.941,-71.522,-18.47,14.571,100.26,0.903,7
0.99,0.959,-73.207,-18.291,15.63,123.91,0.881,7
1,1,-71.778,-18.458,13.42,98.767,0.91,7
0.965,0.902,-68.242,-19.085,14.33,118.402,0.91,7
0.984,0.945,-74.376,-18.304,13.9,96.096,0.924,7
0.967,0.91,-72.997,-18.662,15.077,82.402,0.914,7
0.987,0.936,-73.179,-18.459,15.525,118.981,0.922,7
0.989,0.967,-70.289,-18.476,15.058,116.224,0.929,7
0.994,0.981,-73.405,-18.146,15.409,121.278,0.962,7
1,1,-71.639,-18.07,14.449,119.75,0.969,7
0.975,0.898,-70.969,-18.048,16.181,113.928,0.964,7
0.994,0.977,-72.759,-17.987,14.806,123.662,0.93,7
0.988,0.957,-72.288,-18.418,14.528,127.592,0.955,7
1,1,-72.574,-18.317,15.624,108.908,0.944,7
0.984,0.938,-70.531,-18.205,14.67,118.402,0.952,7
0.986,0.964,-71.824,-18.507,15.207,98.93,0.969,7
1,1,-71.073,-18.067,14.309,117.549,0.948,7
0.996,0.984,-72.057,-18.423,14.622,89.032,0.956,7
0.994,0.966,-70.852,-17.685,15.196,133.681,0.941,7
1,1,-71.826,-18.077,14.799,138.274,0.901,7
0.994,0.984,-72.88,-18.048,14.843,111.011,0.847,7
0.989,0.957,-69.207,-18.172,13.715,118.503,0.908,7
0.995,0.977,-69.603,-17.956,15.574,118.521,0.942,7
1,1,-72.263,-18.064,14.737,115.875,0.869,7
0.989,0.968,-70.427,-18.093,14.415,109.455,0.946,7
0.994,0.982,-71.873,-17.992,14.982,115.687,0.917,7
0.989,0.966,-72.024,-18.26,14.638,124.034,0.877,7
0.973,0.933,-71.555,-17.957,14.064,99.228,0.948,7
1,1,-72.086,-17.72,15.797,128.435,0.865,7
1,1,-73.043,-18.104,14.543,116.108,0.864,7
0.994,0.977,-72.868,-18.084,14.484,121.278,0.882,7
1,1,-73.51,-17.872,14.637,96.471,0.859,7
0.989,0.964,-72.621,-17.953,14.372,118.402,0.848,7
0.989,0.964,-73.935,-18.35,14.704,108.548,0.897,7
1,1,-73.223,-18.52,14.287,104.003,0.887,7
0.984,0.933,-73.451,-18.063,15.023,115.668,0.844,7
0.989,0.966,-73.902,-18.411,14.571,103.784,0.87,7
0.994,0.979,-69.662,-18.12,15.95,116.224,0.831,7
0.995,0.976,-67.345,-18.085,14.39,113.172,0.894,7
0.987,0.958,-67.864,-18.413,14.683,117.751,0.982,7
0.994,0.975,-65.373,-18.365,15.958,135.109,0.812,7
0.979,0.926,-67.93,-18.23,15.665,124.729,0.898,7
0.994,0.981,-69.501,-18.007,14.213,116.736,0.937,7
0.979,0.93,-68.686,-18.244,15.128,102.856,0.881,7
0.975,0.9,-67.908,-18.071,16.167,120.995,0.876,7
0.989,0.962,-66.777,-18.092,15.183,134.007,0.968,7
0.995,0.98,-69.341,-17.834,14.324,99.228,0.878,7
0.985,0.952,-68.921,-18.276,14.777,99.362,0.947,7
0.995,0.982,-72.306,-18.395,13.524,94.174,0.9,7
0.994,0.973,-73.587,-17.93,13.513,113.928,0.869,7
0.99,0.941,-71.722,-17.931,13.538,99.128,0.872,7
0.984,0.939,-72.832,-18.185,14.21,103.75,0.877,7
0.995,0.978,-69.952,-17.825,15.338,118.981,0.886,7
0.995,0.982,-71.349,-17.767,14.256,94.174,0.896,7
0.995,0.973,-71.102,-17.597,15.292,118.521,0.883,7
0.984,0.936,-71.194,-17.936,14.166,113.847,0.876,7
0.984,0.935,-72.073,-17.945,13.92,116.224,0.891,7
0.995,0.978,-73.117,-18.011,13.781,96.471,0.883,7
0.995,0.977,-72.814,-18.231,14.544,113.501,0.929,7
0.995,0.982,-72.462,-18.122,14.197,98.767,0.89,7
0.994,0.983,-71.443,-18.222,14.999,109.334,0.938,7
0.995,0.976,-72.41,-18.002,15.223,123.662,0.892,7
0.995,0.978,-69.776,-18.302,15.206,103.989,0.868,7
1,1,-71.541,-18.294,15.159,97.39,0.87,7
0.995,0.974,-73.959,-18.019,14.987,123.91,0.887,7
1,1,-71.565,-17.942,15.153,112.454,0.882,7
0.982,0.947,-72.108,-18.348,14.171,98.434,0.917,7
0.984,0.957,-70.592,-18.215,15.611,105.101,0.919,7
0.988,0.952,-71.925,-18.321,14.205,123.608,0.935,7
0.994,0.977,-72.066,-18.204,13.693,103.854,0.902,7
0.982,0.953,-69.612,-18.476,15.543,98.767,0.937,7
0.995,0.978,-71.522,-17.954,14.812,108.799,0.888,7
1,1,-72.886,-18.46,13.481,103.75,0.932,7
0.994,0.976,-70.57,-18.423,13.884,118.521,0.89,7
0.985,0.947,-71.904,-18.061,14.57,103.461,0.882,7
0.989,0.967,-72.819,-18.528,15.18,103.032,0.913,7
0.995,0.977,-73.127,-18.448,14.988,118.402,0.91,7
0.969,0.893,-69.704,-18.348,15.9,123.091,0.914,7
1,1,-70.864,-18.109,15.464,118.981,0.902,7
0.995,0.982,-70.15,-17.955,16.483,124.034,0.89,7
0.989,0.967,-73.293,-18.309,14.235,104.27,0.876,7
0.974,0.938,-73.028,-18.358,15.084,104.177,0.87,7
0.984,0.955,-73.143,-18.236,15.449,98.93,0.87,7
0.994,0.979,-73.744,-17.648,14.255,118.981,0.873,7
0.989,0.959,-75.915,-18.183,13.871,113.501,0.872,7
0.995,0.981,-71.654,-18.096,16.077,108.547,0.895,7
0.994,0.983,-72.372,-18.132,13.675,99.228,0.892,7
0.968,0.897,-71.521,-18.138,15.529,109.225,0.887,7
1,1,-72.577,-18.036,14.075,99.128,0.894,7
1,1,-71.07,-17.966,16.146,147.936,0.904,7
0.977,0.938,-73.396,-17.879,14.044,101.952,0.896,7
1,1,-72.045,-18.215,14.649,115.875,0.892,7
0.995,0.978,-70.872,-17.718,15.253,121.156,0.879,7
0.984,0.948,-72.023,-17.954,15.471,108.765,0.899,7
0.989,0.982,-69.735,-18.036,14.905,108.874,0.875,7
0.989,0.962,-66.549,-17.916,15.717,121.278,0.862,7
0.975,0.945,-73.191,-18.081,14.406,120.903,0.92,7
0.994,0.978,-72.94,-17.983,14.605,132.04,0.91,7
0.987,0.961,-72.881,-18.103,13.745,115.339,0.885,7
0.994,0.97,-72.216,-17.987,16.353,146.084,0.867,7
0.994,1,-73.179,-17.997,14.006,103.161,0.851,7
1,1,-73.143,-18.222,14.369,124.034,0.907,7
0.995,0.979,-71.351,-17.965,14.444,124.034,0.861,7
0.99,0.957,-70.407,-18.003,15.411,121.278,0.885,7
0.984,0.936,-70.978,-17.993,14.263,105.696,0.87,7
1,1,-75.469,-18.053,14.368,123.662,0.9,7
0.989,0.962,-75.363,-17.966,14.149,103.854,0.897,7
0.983,0.94,-73.58,-18.309,14.889,121.278,0.873,7
1,1,-70.507,-18.077,15.57,99.228,0.899,7
1,1,-73.949,-18.104,14.619,113.501,0.893,7
0.994,0.98,-72.503,-18.238,15.667,113.621,0.896,7
